vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
8.55323601,-0.02819897,-0.02045596,-0.00837765765121034,0.28966644,0.0
8.57535267,-0.028255,-0.02049771,-0.00837765765121034,0.30951872,0.0
8.58687496,-0.02827343,-0.02051337,-0.008497338700434894,0.31745353,0.0
8.61135769,-0.02827476,-0.02051319,-0.00885638119901917,0.33332315,0.0
8.63796043,-0.02863228,-0.02074641,-0.009335104746827997,0.3491928,0.0
8.65213966,-0.0287071,-0.02087727,-0.009909572658017587,0.36506242,0.0
8.68238258,-0.03059933,-0.02223843,-0.01010106203386849,0.38094729,0.0
8.71581364,-0.03233346,-0.02360147,-0.01010106203386849,0.3888821,0.0
8.7337513,-0.03281431,-0.02408853,-0.01010106203386849,0.3928495,0.0
8.77180099,-0.03388192,-0.02472694,-0.010053189743996547,0.39681691,0.0
8.81239414,-0.03441066,-0.02495335,-0.00993350869477199,0.39681691,0.0
8.8334446,-0.03455923,-0.02503242,-0.00978989160879303,0.39681691,0.0
8.8766737,-0.03442784,-0.0249619,-0.00947872204917009,0.39681691,0.0
8.92094135,-0.0340743,-0.02471407,-0.00885638119901917,0.39681691,0.0
8.94334412,-0.0339756,-0.0246282,-0.008353721614455932,0.39681691,0.0
8.98853683,-0.03205841,-0.02335371,-0.007922871005608439,0.39681691,0.0
9.03408051,-0.03045677,-0.02209637,-0.007874998715736495,0.39681691,0.0
9.05694103,-0.03000127,-0.0216856,-0.007874998715736495,0.39681691,0.0
9.10279751,-0.0283611,-0.02061604,-0.007874998715736495,0.39681691,0.0
9.14878368,-0.02780125,-0.02034289,-0.007874998715736495,0.40078431,0.0
9.17181301,-0.0276676,-0.0203332,-0.007874998715736495,0.40078431,0.0
9.21802425,-0.02756964,-0.02033658,-0.007874998715736495,0.40078431,0.0
9.26455402,-0.02768702,-0.02040916,-0.007874998715736495,0.40078431,0.0
9.2879076,-0.02776714,-0.02045674,-0.007874998715736495,0.40078431,0.0
9.33475018,-0.02791066,-0.02052373,-0.007874998715736495,0.40078431,0.0
9.38172913,-0.02805664,-0.02061283,-0.007874998715736495,0.40078431,0.0
9.42881107,-0.02818112,-0.02070802,-0.007874998715736495,0.40078431,0.0
9.47596931,-0.02829624,-0.02080898,-0.007874998715736495,0.40078431,0.0
9.47596931,-0.02829624,-0.02080898,-0.007874998715736495,0.40078431,0.0
9.52319241,-0.02840169,-0.02090897,-0.007874998715736495,0.40078431,0.0
9.54682446,-0.02845202,-0.02095777,-0.007874998715736495,0.40078431,0.0
9.59412098,-0.02852532,-0.02104061,-0.007874998715736495,0.40078431,0.0
9.64145565,-0.02863658,-0.02112818,-0.007874998715736495,0.40078431,0.0
9.6651392,-0.0286874,-0.02118289,-0.007874998715736495,0.40078431,0.0
9.71252728,-0.02880918,-0.02129984,-0.007874998715736495,0.40078431,0.0
9.75994492,-0.02890884,-0.02138656,-0.007779253703266345,0.40078431,0.0
9.7836647,-0.02896078,-0.02143017,-0.007563828507024164,0.40078431,0.0
9.8311224,-0.02891407,-0.02143124,-0.006989360595834579,0.3928495,0.0
9.87857914,-0.02849355,-0.02113775,-0.00617553058619588,0.3928495,0.0
9.87857914,-0.02849355,-0.02113775,-0.00617553058619588,0.3928495,0.0
9.90215778,-0.02840371,-0.02098667,-0.005289892682657094,0.3928495,0.0
9.94896793,-0.02532686,-0.01874968,-0.004811169134848265,0.3928495,0.0
9.94896793,-0.02532686,-0.01874968,-0.004811169134848265,0.3928495,0.0
9.99543667,-0.02237132,-0.01640688,-0.004643616228478027,0.3928495,0.0
10.0185833,-0.0215233,-0.01553702,-0.00461967997536049,0.3928495,0.0
10.06475925,-0.01857269,-0.01349855,-0.004476063105744659,0.3928495,0.0
10.11082458,-0.01732689,-0.01287818,-0.004284573729893753,0.3928495,0.0
10.13382721,-0.01699057,-0.01275784,-0.003949467484427016,0.3888821,0.0
10.17978859,-0.01636247,-0.01243982,-0.0035186164428532615,0.3888821,0.0
10.17978859,-0.01636247,-0.01243982,-0.0035186164428532615,0.3888821,0.0
10.22548294,-0.01591394,-0.01207309,-0.0033271270670023555,0.3888821,0.0
10.24822998,-0.01584974,-0.01192935,-0.0030877654012795054,0.3888821,0.0
10.29358196,-0.01385321,-0.01024947,-0.0029441485316636746,0.3888821,0.0
10.33879852,-0.01273569,-0.00939216,-0.0029441485316636746,0.3888821,0.0
10.33879852,-0.01273569,-0.00939216,-0.0029441485316636746,0.3888821,0.0
10.38392639,-0.01179944,-0.00877225,-0.0029441485316636746,0.3888821,0.0
10.40646362,-0.01153547,-0.00857204,-0.0029441485316636746,0.3888821,0.0
10.42898846,-0.01141609,-0.00853243,-0.0029441485316636746,0.3888821,0.0
10.45149994,-0.01123384,-0.00847455,-0.0029441485316636746,0.3888821,0.0
10.47400284,-0.01123697,-0.00849284,-0.0029441485316636746,0.3888821,0.0
10.49649239,-0.0111549,-0.0084726,-0.0029441485316636746,0.3888821,0.0
10.5189743,-0.01127215,-0.00853824,-0.0029441485316636746,0.3888821,0.0
10.54144859,-0.01124927,-0.00854457,-0.0029441485316636746,0.3888821,0.0
10.5639143,-0.01128864,-0.00854743,-0.0029441485316636746,0.3888821,0.0
10.58637047,-0.01132672,-0.00855774,-0.0029441485316636746,0.3888821,0.0
10.60881901,-0.01136778,-0.00857123,-0.0029441485316636746,0.3888821,0.0
10.63125992,-0.01140459,-0.00858746,-0.0029441485316636746,0.3888821,0.0
10.65369034,-0.01135781,-0.00855336,-0.0029441485316636746,0.3888821,0.0
10.67611408,-0.0114994,-0.00862554,-0.0029441485316636746,0.3888821,0.0
10.69852829,-0.01148231,-0.00864692,-0.0029441485316636746,0.3888821,0.0
10.74332905,-0.01146825,-0.00863523,-0.002920212062183007,0.3888821,0.0
10.76571751,-0.011526,-0.00866726,-0.002704786649577695,0.3888821,0.0
10.78809452,-0.01154308,-0.00869714,-0.002417552910346032,0.3849147,0.0
10.81046009,-0.01157406,-0.00872808,-0.0019388293625372025,0.38094729,0.0
10.85504627,-0.01035459,-0.00781288,-0.0003590424985842742,0.35712761,0.0
10.87707138,-0.00914266,-0.00683359,0.00016755312273336853,0.3491928,0.0
10.89862633,-0.00640155,-0.00476128,0.0005744679111895866,0.34125796,0.0
10.91959572,-0.00448951,-0.00290959,0.0007659572870404921,0.33332315,0.0
10.93990993,-0.00244498,-0.0012843,0.000909574373019454,0.32538834,0.0
10.95952034,-0.0005766,0.00011974,0.0009335104097738609,0.30951872,0.0
10.97836018,0.00081596,0.0011007,0.0009335104097738609,0.30555132,0.0
10.99627209,0.00205097,0.00183995,0.0009335104097738609,0.30158392,0.0
11.01325703,0.00273092,0.00220281,0.0010292552058808787,0.29761651,0.0
11.0293951,0.00325906,0.00239649,0.0010771274957528227,0.29364911,0.0
11.05944729,0.00414443,0.00282473,0.0020345741586442205,0.2777642,0.0
11.07344532,0.00433288,0.00302239,0.0025132974900899194,0.2737968,0.0
11.08668137,0.00586323,0.00407902,0.002968084568418081,0.26586199,0.0
11.09920311,0.00693914,0.00519705,0.0034468078998637804,0.25395977,0.0
11.12215424,0.01015089,0.00795998,0.00423670144002181,0.23412274,0.0
11.13248158,0.01080569,0.00862655,0.004954786437190358,0.21428572,0.0
11.13248158,0.01080569,0.00862655,0.004954786437190358,0.21428572,0.0
11.15066242,0.01547325,0.01186536,0.005098403523169319,0.20236823,0.0
11.16453552,0.01884168,0.01451361,0.005098403523169319,0.19443342,0.0
11.16995716,0.01960091,0.01530467,0.005098403523169319,0.18253121,0.0
11.17823315,0.02121049,0.01624563,0.005098403523169319,0.1745964,0.0
11.18312645,0.02182039,0.01641435,0.005098403523169319,0.16269417,0.0
11.18445396,0.02194456,0.01645829,0.005098403523169319,0.15475936,0.0
11.1850872,0.02200754,0.01658466,0.005098403523169319,0.14285715,0.0
11.18286324,0.02214336,0.01673033,0.005098403523169319,0.13888973,0.0
11.18286324,0.02214336,0.01673033,0.005098403523169319,0.13888973,0.0
11.18072414,0.02210682,0.01680158,0.005098403523169319,0.13888973,0.0
11.17469978,0.02169942,0.01654847,0.005098403523169319,0.13492233,0.0
11.16691494,0.02181128,0.01660481,0.005098403523169319,0.13492233,0.0
11.16250992,0.02177529,0.01664526,0.005098403523169319,0.13492233,0.0
11.16250992,0.02177529,0.01664526,0.005098403523169319,0.13492233,0.0
11.15293121,0.02158387,0.01647175,0.005002658727062302,0.13492233,0.0
11.14268398,0.02176352,0.0165903,0.005002658727062302,0.13492233,0.0
11.13740253,0.02174397,0.01663372,0.005002658727062302,0.13492233,0.0
11.12666607,0.02132016,0.01620463,0.005002658727062302,0.13492233,0.0
11.11575317,0.02120477,0.01613919,0.005002658727062302,0.13492233,0.0
11.11026955,0.0211703,0.01612498,0.005002658727062302,0.13492233,0.0
11.11026955,0.0211703,0.01612498,0.005002658727062302,0.13492233,0.0
11.09926701,0.02111651,0.01610979,0.005002658727062302,0.13492233,0.0
11.08824062,0.02080437,0.01590031,0.005002658727062302,0.13492233,0.0
11.08272648,0.02080312,0.01582477,0.005002658727062302,0.13492233,0.0
11.07171535,0.02100362,0.01603528,0.005002658727062302,0.13492233,0.0
11.06072903,0.02105736,0.01606995,0.005002658727062302,0.13492233,0.0
11.05524826,0.02106193,0.01607158,0.005002658727062302,0.13492233,0.0
11.04430866,0.02108341,0.01599013,0.005002658727062302,0.13492233,0.0
